Date,QQQ_close,QQQ_base_position,QQQ_base_return,QQQ_base_equity,SPY_Base_close,SPY_Base_base_position,SPY_Base_base_return,SPY_Base_base_equity,SPY_Ladder_ladder_position,SPY_Ladder_ladder_return,SPY_Ladder_ladder_equity,SPY_Ladder_gap,SPY_Ladder_ladder_adjustment,Portfolio_Base_Config_return,Portfolio_Base_Config_position,Portfolio_Base_Config_equity,Portfolio_Base_Config_turnover_change,Portfolio_SPY_Ladder_Config_return,Portfolio_SPY_Ladder_Config_position,Portfolio_SPY_Ladder_Config_equity,Portfolio_SPY_Ladder_Config_turnover_change,Portfolio_Base_50_return,Portfolio_Base_50_position,Portfolio_Base_50_equity,Portfolio_Base_50_turnover_change,Portfolio_SPY_Ladder_50_return,Portfolio_SPY_Ladder_50_position,Portfolio_SPY_Ladder_50_equity,Portfolio_SPY_Ladder_50_turnover_change
2008-01-31,45.130001068115234,0.29284216705229105,-0.034818602099364396,96518.13979006356,137.3699951171875,0.36524686543228563,-0.0220832116668392,97791.67883331608,0.36524686543228563,-0.0220832116668392,97791.67883331608,-0.0689148725457468,0.0,-0.012091635425318263,0.13984391940297253,98790.83645746818,0.13984391940297253,-0.012091635425318263,0.13984391940297253,98790.83645746818,0.13984391940297253,-0.028450906883101798,0.32904451624228837,97154.90931168981,0.32904451624228837,-0.028450906883101798,0.32904451624228837,97154.90931168981,0.32904451624228837
2008-02-29,42.95000076293945,0.01929853798953374,-0.000932213997582939,96428.16422913059,133.82000732421875,0.03309781656646787,-0.0008553312146851701,97708.03455787347,0.03309781656646787,-0.0008553312146851701,97708.03455787347,-0.10045101683534852,0.0,-0.0003798533576069732,0.011134225343150343,98753.31042653901,0.1287096940598222,-0.0003798533576069732,0.011134225343150343,98753.31042653901,0.1287096940598222,-0.0008937726061340545,0.026198177278000806,97068.0749151956,0.30284633896428753,-0.0008937726061340545,0.026198177278000806,97068.0749151956,0.30284633896428753
2008-03-31,43.720001220703125,0.0,0.0,96428.16422913059,131.97000122070312,0.012174936485581263,-0.00016831344773184795,97691.58898170594,0.012174936485581263,-0.00016831344773184795,97691.58898170594,-0.12040604971341684,0.0,-3.5766607643017686e-05,0.0025871740031860185,98749.77835563154,0.008547051339964324,-3.5766607643017686e-05,0.0025871740031860185,98749.77835563154,0.008547051339964324,-8.415672386592397e-05,0.006087468242790632,97059.90598401874,0.020110709035210173,-8.415672386592397e-05,0.006087468242790632,97059.90598401874,0.020110709035210173
2008-04-30,47.209999084472656,0.00305090594078163,0.00024354196977578296,96451.64853418882,138.25999450683594,0.008418172425831873,0.0004012294275229897,97730.78572202688,0.008418172425831873,0.0004012294275229897,97730.78572202688,-0.08434679559216551,0.0,0.00013701392192598917,0.002437179152905369,98763.30845005336,0.0014466298751128418,0.00013701392192598917,0.002437179152905369,98763.30845005336,0.0014466298751128418,0.0003223856986493863,0.005734539183306752,97091.19670962026,0.0034038350002655103,0.0003223856986493863,0.005734539183306752,97091.19670962026,0.0034038350002655103
2008-05-31,50.0099983215332,0.4015866447754734,0.02381788436329074,98748.92274562489,140.35000610351562,0.08786178837940188,0.0013281655136250274,97860.58838124236,0.08786178837940188,0.0013281655136250274,97860.58838124236,-0.0746920582165449,0.0,0.0053435355988446,0.104007792045411,99291.0537046159,0.10157061289250563,0.0053435355988446,0.104007792045411,99291.0537046159,0.10157061289250563,0.012573024938457883,0.24472421657743765,98311.92674715503,0.2389896773941309,0.012573024938457883,0.24472421657743765,98311.92674715503,0.2389896773941309
2008-06-30,45.16999816894531,0.8608052757013811,-0.08330929425265012,90522.21968347741,127.9800033569336,0.22160150693817837,-0.01953125137344271,95949.24863001531,0.22160150693817837,-0.01953125137344271,95949.24863001531,-0.16237090076879745,0.0,-0.021853615945544726,0.2300114413109064,97121.18515012677,0.12600364926549537,-0.021853615945544726,0.2300114413109064,97121.18515012677,0.12600364926549537,-0.05142027281304641,0.5412033913197798,93256.7006530401,0.2964791747423421,-0.05142027281304641,0.5412033913197798,93256.7006530401,0.2964791747423421
2008-07-31,45.459999084472656,0.003779902384510391,2.4267770567801895e-05,90524.41645593598,126.83000183105467,0.0069139588708043076,-6.212738742562539e-05,95943.28755387248,0.0069139588708043076,-6.212738742562539e-05,95943.28755387248,-0.1646334632363592,0.0,-8.045168582287493e-06,0.0022724455167543733,97120.40379381932,0.227738995794152,-8.045168582287493e-06,0.0022724455167543733,97120.40379381932,0.227738995794152,-1.8929808428911746e-05,0.0053469306276573494,93254.93532156202,0.5358564606921223,-1.8929808428911746e-05,0.0053469306276573494,93254.93532156202,0.5358564606921223
2008-08-31,46.119998931884766,0.007385404646942152,0.00010722318605860629,90534.12277228448,128.7899932861328,0.007599869894666492,0.0001174460288433473,95954.55571198984,0.007599869894666492,0.0001174460288433473,95954.55571198984,-0.15218402979124956,0.0,4.774220816666513e-05,0.003184370840091837,97125.04053635447,0.0009119253233374634,4.774220816666513e-05,0.003184370840091837,97125.04053635447,0.0009119253233374634,0.00011233460745097679,0.007492637270804322,93265.41107811422,0.002145706643146973,0.00011233460745097679,0.007492637270804322,93265.41107811422,0.002145706643146973
2008-09-30,38.90999984741211,0.20132169405849654,-0.03147288082096505,87684.75311604176,115.98999786376952,0.0251374055089628,-0.0024983204613572905,95714.83048209413,0.0251374055089628,-0.0024983204613572905,95714.83048209413,-0.24314520423691277,0.05,-0.007218880272493496,0.0481225586580851,96423.90649726144,0.04493818781799327,-0.007218880272493496,0.0481225586580851,96423.90649726144,0.04493818781799327,-0.01698560064116117,0.11322954978372966,91681.24205190765,0.10573691251292534,-0.01698560064116117,0.11322954978372966,91681.24205190765,0.10573691251292534
2008-10-31,32.88999938964844,0.0,-0.0,87684.75311604176,96.83000183105467,0.0,-0.0,95714.83048209413,0.05,-0.008259331143025928,94924.29000184392,-0.3628492903590902,0.1,-0.0,0.0,96423.90649726144,0.0481225586580851,-0.0017551078678930095,0.010625,96254.67214031512,0.04806416131677591,-0.0,0.0,91681.24205190765,0.11322954978372966,-0.004129665571512964,0.025,91302.62918305234,0.11309214427476687
